title,genre,classification,duration,synopsis,url
Propiedad Ajena,Drama,R,1hr 52 min,"La vida de una mujer cambia radicalmente cuando descubre en la tumba de uno de sus antepasados su diario escrito, pero sin el cadáver.",https://pluto.tv/on-demand/movies/64f5e016f64f1800137f3e7d/details
Implacable,Comedy,TV-PG,1hr 11 min,"Max, en su imaginación, es un implacable galán que hace suspirar a las mujeres. Su vida dará un giro cuando convenza a Dan, un joven listo, atleta y culto, a que lo tome bajo su tutela, a compite por el amor de la misma mujer.",https://pluto.tv/on-demand/movies/5e5d92bd6d961a001a2a6749/details
La Pócima,Thriller,R,1hr 6 min,"Una pareja tiene problemas en su relación, pues no tienen dinero, ni su familia, ni los bancos les pueden ayudar. La mala situación económica, provoca que la pareja busque la solución a sus problemas en el reclamo de un seguro de vida.",https://pluto.tv/on-demand/movies/5fad92612cdc95001a8e17ec/details
Prometo no Enamorarme,Drama,PG-13,1hr 29 min,"Iván y Julieta se conocen mientras ella espera a su marido, Daniel, pero no llega a la cita y conviven durante 24 horas. Tiempo suficiente para que él se enamore irremediablemente de ella, y ella deba tomar una decisión de vida.",https://pluto.tv/on-demand/movies/611154e9975c210013c0a67e/details
Madres Michoacanas,Crime,PG-13,1hr 31 min,"Con la llegada de grupos armados a Michoacán sembrando el terror y muerte, Las madres temen por las vidas de sus hijos ya que intentan ser reclutados por los lideres de los grupos criminales.",https://pluto.tv/on-demand/movies/627124985bbb230014b8006b/details
El inolvidable Chucho el Roto,Drama,PG,1hr 26 min,"Jesús Arriaga, un astuto e inteligente ladrón enamorado de la aristócrata Matilde Frizac, se ve envuelto en una serie de infortunios que lo obligan a mantenerse separado de su hija y de Matilde.",https://pluto.tv/on-demand/movies/649b4d8558bf820013d11680/details
Escuela de verano,Comedy,PG,1hr 32 min,"Dos mujeres fundan una escuela de verano para jóvenes del continente, pero el consejero les roba el dinero.",https://pluto.tv/on-demand/movies/649b580c9263a40013ea2896/details
Te Presumo,Drama,PG-13,1hr 53 min,Esta es la historia de un empresario que tiene la vida ideal. Un día cuando regresa de una carrera de motos en la que su hijo gano el primer lugar todo da un vuelco en sus vidas.,https://pluto.tv/on-demand/movies/625daf948f17ad0013f75c86/details
El Ejecutor,Action & Adventure,TV-MA,1hr 41 min,"El asesinato de un político por un gatillero solitario desencadena una lucha entre la justicia y el crimen organizado. Entre escenas violentas y de acción, un agente tendrá que demostrar que nadie podrá estar nunca por encima de la ley.",https://pluto.tv/on-demand/movies/5e5d73336d961a001a2a5b60/details
EL MILAGRO DE COROMOTO,Faith & Spirituality,PG,1hr 33 min,"En 1670 se aparece la Virgen María a un cacique indio llamado Coromoto. Así comienza nuestro relato, una historia en la que el cacique Coromoto después de grandes presiones internas, decide al final de sus días aceptar el bautismo y la fe Cristiana.",https://pluto.tv/on-demand/movies/64fa0d38f64f18001396b5df/details
Los cuatro Juanes,Action & Adventure,N/A,1hr 40 min,"Los cuatro famosos Juanes: Juan Colorado, Juan Sin Miedo, Juan Pistolas y Juan Charrasqueado pasan peligrosas aventuras para llevar un importante cargamento de armas y municiones desde Veracruz hasta un pueblo sitiado por las fuerzas del gobierno.",https://pluto.tv/on-demand/movies/61ba102f178ebd00137f5da6/details
Erótika,Drama,R,1hr 54 min,"Tres historias unidas por personajes en común que abren las puertas a la libertad sexual: El romance se ve en tres etapas distintas de la vida, a los 20, 30 y 40, en tres historias entrelazadas.",https://pluto.tv/on-demand/movies/5fb2bd9a8b78ef001aa2e895/details
Secuestro,Thriller,PG-13,1hr 30 min,Un día de compras se convierte en una pesadilla para Camila cuando una banda de secuestradores la privan de su libertad. Las cosas se complican después de que Diego esposo de Camila intenta rescatarla.,https://pluto.tv/on-demand/movies/6271248a5bbb230014b7ffba/details
La Sonrisa De Los Pobres,Entertainment,TV-PG,1hr 38 min,"Julio, llega a la capital luego de estudiar mecánica automotriz. Una empresa lo contrata pero como oficinista, por lo que quiere renunciar pero resiste para estar cerca de la secretaria Lupe. Se casa con Lupe y ella se sale de trabajar.",https://pluto.tv/on-demand/movies/66991bb461ac500014a790f8/details
Relocos y Repasados,Comedy,N/A,1hr 37 min,"Luego de fumar su último porro veraniego, Elías encuentra un estuche que contiene cinco tipos distintos de drogas y decide juntarse con varias personas para hacer un experimento: que cada uno tome una droga distinta, a ver qué pasa.",https://pluto.tv/on-demand/movies/5ffce1993cabde0013a1e6d7/details
La familia de mi ex,Comedy,N/A,1hr 27 min,"Linda y Angel mantuvieron una relación en el pasado. Ahora, con matrimonios fallidos y tres hijos cada uno, la vida y sus casualidades los reencuentran llevándolos a compartir unos días juntos en un hotel de Puebla.",https://pluto.tv/on-demand/movies/61eacaaefef5db001a0afd3e/details
La Venganza del Centenario,Crime,PG-13,1hr 32 min,"Siendo policía detuvo a un delincuente muy peligroso, años después este sujeto sale de la cárcel con las intenciones de enmendar su vida, pero el destino le hace una mala jugada y lo orilla a volver a los malos pasos.",https://pluto.tv/on-demand/movies/620bd4cae17acd001398a327/details
El sordo,Drama,PG,1hr 32 min,"Un escultor que fabrica imágenes de santos es golpeado por un matón y queda sordo. A causa de esto, se avergüenza y se va del pueblo.",https://pluto.tv/on-demand/movies/649b564058bf820013d2bbd7/details
Venezuela: La Verdad,Documentary,N/A,1hr 2 min,"Retrata la realidad que enfrentan diariamente cientos de familias venezolanas, junto con una devastadora crisis humanitaria, social, política y económica que se ha apoderado del país.",https://pluto.tv/on-demand/movies/5ffcd954ce98800013eb2d20/details
Los Tres Gallos Michoacanos,Crime,PG-13,1hr 28 min,"Tres Michoacanos arriesgan sus vidas por entrar al mundo del narcotráfico, pero es más difícil de lo que ellos creen, además de los enemigos enfrentarán a un persistente Sheriff.",https://pluto.tv/on-demand/movies/62979b6365c304001365d932/details
Justicia Divina,Action & Adventure,PG-13,1hr 51 min,"Fernando un hombre de origen humilde se a enamorado de Camila la hija de Don Raymundo el narcotraficante mas temido del pueblo, quien contrata a un sicario para que acabe con la vida de Fernando sin saber el precio tan alto que tendrá que pagar por ello.",https://pluto.tv/on-demand/movies/628bae1b73a0a1001458ae74/details
El espejo de la bruja,Horror,PG-13,1hr 15 min,"En el siglo XIX, en una lóbrega mansión frente a un espejo mágico, una bruja previene de muerte a una mujer.",https://pluto.tv/on-demand/movies/649b60649263a40013ea435a/details
Pordioseros y Ladrones,Crime,G,1hr 43 min,Parecía que Eduardo lo tenia todo sin embargo la vida le dio la espalda después de una traición que lo dejo en la calle. El padrino es un pordiosero que se enfrentara al cartel que le arrebato absolutamente todo.,https://pluto.tv/on-demand/movies/6228f6652c1d56001a6c82e2/details
El 24,Action & Adventure,N/A,1hr 39 min,Valentin Trujillo Jr en El 24 es un Cabrón con muchas agallas rodeado de lujos y sicarios a sus ordenes. La Trama de la película se basa en la búsqueda que lleva a cabo el 24 sobre el paradero de su hermano que fue levantado y ejecutado por el Tumbador.,https://pluto.tv/on-demand/movies/6058ebb5f3fd5d001b7f77de/details
Cartas a Elena,Children & Family,TV-PG,1hr 45 min,"Cuando se queda lisiado un cartero, su hijo adoptado, Emilio, se hace cargo del correo y haciendo gala de una gran imaginación cambia el contenido de las cartas sustituyendo las historias tristes por historias alegres y optimistas.",https://pluto.tv/on-demand/movies/5e58528e3fa84e001a82e518/details
Toña Machetes,Drama,N/A,1hr 55 min,"Toña Machetes es una brava mujer que logró elevarse por encima de los prejuicios sociales de los años 30. Dueña de una gran extensión de tierra y temida por su carácter, vive separada de su esposo aristócrata y acechada por constantes amenazas de muerte.",https://pluto.tv/on-demand/movies/61ba106ba6334f00130b9bdf/details
El Pirata,Action & Adventure,PG-13,1hr 30 min,"En los juegos clandestinos la traición y la trampa se pagan con la muerte, así un jugador de altos niveles es apuñalado en el ojo, ahora todos tendrán que conocer la furia del “Pirata”.",https://pluto.tv/on-demand/movies/62b5de1acb0324001354b56c/details
Andrea y Lorenzo,Comedy,N/A,1hr 34 min,"Andrea es una periodista, pero siente que su vida es estática. Lorenzo, un compañero y amante del pasado, se ha transformado en un rockstar famoso y enseñará a Andrea sobre el amor, vida, y como ser fiel a sí misma.",https://pluto.tv/on-demand/movies/5e5050706faf17c4d64dd909/details
El viaje de Steve,Action & Adventure,N/A,1hr 27 min,Un joven estadounidense llega a tierras muy lejanas llevado por sus ancestros. Él no sabe que tan poderosa puede ser una maldición hasta que un collar lo reúne con el amor y su destino inminente.,https://pluto.tv/on-demand/movies/6012336c74058a001a9c90eb/details
La Dama X,Action & Adventure,TV-MA,1hr 25 min,"Una mujer que se formó en las filas de la policía, a quien no le dieron el título de jefa por ser mujer. Un poderoso narcotraficante que necesita la inteligencia y estrategia de la Dama X.",https://pluto.tv/on-demand/movies/5e5d74604698db001ab21ea9/details
Stolen Tango,Thriller,TV-MA,2hr,La historia de las vidas paralelas de un marino traumatizado por la guerra y una prostituta argentina de lujo cuyos mundos chocan en la red clandestina del tráfico sexual.,https://pluto.tv/on-demand/movies/60dcc62ee64aeb001346ce78/details
Aprendiendo a Matar,Action & Adventure,PG-13,1hr 20 min,"¡Unos traficantes se agarran a balazos y mueren todos! Pedro quien anda por sus tierras escucha los balazos y descubre todos muertos encontrándose mucho dinero, se lo lleva a esconder y guarda el secreto hasta de su mujer.",https://pluto.tv/on-demand/movies/62290477a9acf6001a934882/details
Por Amor en el Caserio,Drama,TV-MA,1hr 46 min,"Angelo es un nuevo residente del proyecto, donde su primo es el narcotraficante de uno de los lados. Se enamora de Cristal, la hermana del narcotraficante enemigo de su primo.",https://pluto.tv/on-demand/movies/602141addc6117001bb33bb8/details
Mafia Contra Mafia,Crime,PG-13,1hr 18 min,Un respetable empresario dueño de una mueblería llamado Don Lorenzo molesto con el narcotráfico apoyan monetariamente al comandante y su gente para que acaben con un traficante llamado Ricardo.,https://pluto.tv/on-demand/movies/628fbbf09366e5001aed4b03/details
Los 7 Sellos de la Santa Muerte,Crime,PG-13,1hr 43 min,Una serie de extraños asesinatos están ocurriendo en la ciudad. Una investigadora de lo paranormal y un detective privado se dedican a indagar en el caso y lo que encontraran será algo que nunca imaginaron.,https://pluto.tv/on-demand/movies/6271493ae26cc40014ab805e/details
El Motero,Crime,PG-13,1hr 55 min,"Los Morales son una familia numerosa de padre y madre e hijos que se dedican a los sembradíos de marihuana, en la familia hay dos hermanos Edgar, quien siempre ayuda a su familia y Gustavo quien es envidioso y no ayuda a su familia.",https://pluto.tv/on-demand/movies/621697cc15c86100136c36c4/details
Lo Peor de Los Deseos,Thriller,TV-MA,1hr 33 min,"Están dispuestos a todo por el poder. Lo peor de los deseos, es que se pueden hacer realidad.",https://pluto.tv/on-demand/movies/602141a9dc6117001bb33b40/details
Cuando ella saltó,Drama,TV-14,1hr 31 min,Un joven conoce a una mujer extraña en Buenos Aires.,https://pluto.tv/on-demand/movies/60dcc616e64aeb001346ccdc/details
El Malquerido,Musical,N/A,1hr 33 min,"Felipe Pirela, conocido como el Bolerista de América, revive su historia. Desde que era solo un niño pobre con talento para la música, hasta ser el cantante de Boleros más famoso de la historia.",https://pluto.tv/on-demand/movies/5e5051148be152c5676856d3/details
Vacaciones en familia,Comedy,TV-G,1hr 29 min,Los Kelly son una familia a la que le gusta fingir y fingirán irse de vacaciones mientras se encierran en casa.,https://pluto.tv/on-demand/movies/5faef628fd17cc001a01215a/details
Plan Sexenal,Thriller,TV-MA,1hr 25 min,"La fantasía de Mercedes se convierte en una pesadilla. El miedo más grande de Juan encarna en un hombre extraño que llega a su casa. Hay caos y anarquía en la ciudad, pero esta noche Mercedes es el objeto del deseo de los hombres y nada más importa.",https://pluto.tv/on-demand/movies/5e5d746b5c1e25001a2608bf/details
De Pez en Cuando,Comedy,TV-MA,1hr 20 min,"Ben, un escritor frustrado, decidió terminar con su vida, pero cuando su vecino interrumpe su intento de suicidio sin saberlo, su vida se verá desordenada.",https://pluto.tv/on-demand/movies/6053a029676b99001b916d28/details
Esto no es Berlín,Drama,R,1hr 52 min,"Carlos, 17 años, no encaja en ningún lugar. Pero todo cambia cuando es invitado a un mítico club nocturno donde descubre el underground: el post punk, la libertad sexual y las drogas que desafían la relación con su mejor amigo Gera.",https://pluto.tv/on-demand/movies/6107ef9694cf330013d2b69a/details
Dos Gallos En Palenque,Entertainment,TV-PG,1hr 38 min,"Sofia es una mujer que se hace pasar por una condesa francesa, en el aeropuerto con dirección a Venezuela se encuentra con un antiguo amigo y pretendiente que quiere convencerla para que le vuelva a dar su amor pero ella no lo hará.",https://pluto.tv/on-demand/movies/669918e58dfe2a0013ba5166/details
La Casa Colorada,Drama,TV-PG,1hr 30 min,"Gaspar es un hombre cuya reputación no es buena ante su familia, ya que lo tachan de buscapleitos, el pronto se une a un grupo de voluntarios para luchar por la democracia en favor de don Francisco I. Madero.",https://pluto.tv/on-demand/movies/66797216f868140013c8519f/details
Guerra Sangrienta,Crime,PG-13,1hr 34 min,"Tres bandas de traficantes pelean por la misma plaza, cuando todos quieren poder y no dudaran en matar o traicionar a quien sea, caiga quien caiga, unos tienen amenazada a la policía, mientras otros quieren venganza por su familia.",https://pluto.tv/on-demand/movies/62713dd355812e0013e9fd3a/details
Crónica de una despedida,Drama,R,1hr 5 min,"El largometraje nos presenta a tres actrices que reciben un texto para una audición. La noche previa al evento las tres mujeres se sumergen en la lectura y el aprendizaje del texto, situación que se tornará un viaje vívido y doloroso.",https://pluto.tv/on-demand/movies/5faef62afd17cc001a012190/details
Bestezuelas,Drama,TV-MA,1hr 33 min,"Cuando Fabio sale de la cárcel, su pareja desea que pase a hacerse cargo del canódromo de su tío, ya viejo y enfermo. Sin embargo, Fabio tiene enormes ansias de libertad y otros planes para su futuro.",https://pluto.tv/on-demand/movies/5e584fa84f0d66001b120f78/details
La Posesión de Altair,Horror,PG-13,1hr 22 min,"Una pareja de recién casados, Altair y Manuel, desapareció en 1974. Sus videos personales revelan sucesos aterradores, cuando Altair asegura haber encontrado la manera de comunicarse con Dios y construye una puerta negra de ladrillos en su cuarto.",https://pluto.tv/on-demand/movies/6107ef9994cf330013d2b6d8/details
FRAY MARTIN,Faith & Spirituality,PG,1hr 41 min,"Fray Martín de Porres, Santo peruano venerado en muchos países. En esta película se destaca su labor social y humana, sus dones y el don del consejo.",https://pluto.tv/on-demand/movies/64fa0d646930bb0013163932/details
Yo Soy Muy Macho,Comedy,TV-PG,1hr 23 min,Mario es un piloto que recibe una notificacion de sus superiores para pilotear un avion hacia la selva y transportar medicinas. Lamentablemente mario es detenido por golpear a dos policias y chocar un coche.,https://pluto.tv/on-demand/movies/66797641fe060c0013e68258/details
Operación Carambola,Comedy,N/A,1hr 26 min,"El falso agente de seguridad Ayala, nombra a Capulina como su ayudante numero 13, para preparar la operación carambola. Capulina se da cuenta que él es carnada del criminal y decide unirse a los otros agentes para acabar con la organización.",https://pluto.tv/on-demand/movies/5ffce21450e458001a795abf/details
Los Jóvenes,Drama,TV-PG,1hr 39 min,En esta película se narra la historia de un grupo de jóvenes que sin importar su clase social se aventuran en un sin fin de problemas con la justicia.,https://pluto.tv/on-demand/movies/6661d603c3f49b00133f08f7/details
Cómprame un Revólver,Drama,R,1hr 24 min,"En un México atemporal una niña se viste de una manera extraña para ocultar su género, usa una máscara de Hulk y ayuda a su atormentado padre a cuidar un campo de béisbol abandonado donde juegan traficantes de drogas.",https://pluto.tv/on-demand/movies/6107ef8894cf330013d2b559/details
Los Dos Rivales,Comedy,N/A,1hr 23 min,"Los Treviño y Los Guereña mantienen una rivalidad originada muchos años atrás. Por necesidad de dinero, el heredero de los Treviño, y la heredera de los Guereña, tienen que disfrazarse usando ropa del sexo opuesto para proteger y vender sus ranchos.",https://pluto.tv/on-demand/movies/5ffce1325361860013205769/details
Crimen en Tijuana,Thriller,PG-13,1hr 39 min,Mandan a matar a un político en Tijuana por orden de un narcotraficante y al ser descubierto se van para la sierra.,https://pluto.tv/on-demand/movies/62290481a9acf6001a9348f1/details
El Complot Mongol,Thriller,PG-13,1hr 50 min,"La URSS capta el rumor que China pretende asesinar al presidente de USA en su próxima visita a México. Filiberto García, un policía judicial más con alma de matón que de detective, tiene 72 horas para investigar el Complot Mongol.",https://pluto.tv/on-demand/movies/6107ef9094cf330013d2b626/details
Aquel Septiembre,Comedy,TV-PG,1hr 37 min,"La vida de Antonio tiembla con el regreso de Carolina, su mejor amiga a quien no ve desde hace 6 años. Esta vez sus planes cambian, el amor comienza a jugar con su corazón mientras Julián le hace descubrir los celos que nunca pensó encontrar.",https://pluto.tv/on-demand/movies/60f194a434c9a50013f32bef/details
Texas Huele a Sangre,Crime,PG-13,1hr 28 min,"Un sheriff de Texas quiere poner orden en su condado, pero se enfrenta a un violento narcotraficante que intenta imponer su ley a toda costa lo que desatara una impresionante oleada de violencia y sangre.",https://pluto.tv/on-demand/movies/621697d915c86100136c39c1/details
Contra el tiempo,Thriller,TV-14,1hr 28 min,"Algunas adolescentes han desaparecido de la ciudad y la policía no ha tomado riendas sobre el asunto. Renata, una posicionada oficinista sufre la misma suerte cuando secuestran a su hija, ella inicia una búsqueda que va contra reloj.",https://pluto.tv/on-demand/movies/60f096ab0bb675001323d375/details
Uma,Romance,TV-14,1hr 36 min,"Uma vive en Italia y conoce a un escritor. Hay una química inexplicable entre ambos, una historia de amor que surge hasta que ocurre un accidente que cambiará sus vidas.",https://pluto.tv/on-demand/movies/602141b4dc6117001bb33c62/details
Ahí viene Martín Corona,Drama,TV-PG,1hr 33 min,"Martín Corona (Pedro Infante) y ""Piporro"" son campeones de los pobres, los desafortunados, y las mujeres, pero Carmen Linares y Rosario Medina no caen por su carisma.",https://pluto.tv/on-demand/movies/5e58511a4faf09001a389d8c/details
Mujeres de la Noche,Thriller,PG-13,1hr 48 min,"Mujeres secuestradas en la frontera son obligadas a prostituirse, pero un grupo de policías investiga y lucha para liberarlas y así poner fin a esta pesadilla",https://pluto.tv/on-demand/movies/6228dfe6ad8640001a456d8d/details
El Pistolero,Action & Adventure,N/A,1hr 38 min,"Uno de los hombres más poderosos de México llega a un pueblo en busca de nuevos pistoleros que quieran formal parte de su equipo, y recluta a un hombre sencillo que acepta el trabajo porque quiere vengar la muerte de su padre.",https://pluto.tv/on-demand/movies/5ffcd9cb23d1f7001301a9b8/details
Que Hombre Tan Sin Embargo,Entertainment,TV-PG,1hr 36 min,"Filomeno, es un hombre que llega a casa de Laura cuando mas lo necesita. El es un simple desconocido para Laura y su familia adinerada y de prestigio que por el momento pasa por una crisis financiera, ya que la industria de la sal estan en quiebra.",https://pluto.tv/on-demand/movies/66993ed27e51670013df4975/details
La Araña Vampiro,Drama,PG-13,1hr 31 min,Jerónimo tiene 20 años y está medicado con psicofármacos. Su padre piensa que unos días en un entorno natural pueden curarlo y decide llevarlo a una casa perdida en la montaña,https://pluto.tv/on-demand/movies/65d4e8a8925569001391f9e2/details
"Fuerte, audaz y valiente",Comedy,TV-PG,1hr 32 min,"Ángel y Javier le sacan a la vida más de lo que ella les puede dar estafando a todo el que se les ponga enfrente, pero como a todos, les llegará la hora de pagar.",https://pluto.tv/on-demand/movies/649b5888fafd83001327794f/details
La Voladora,Drama,R,1hr 30 min,La Voladora La vida da señales de corregir las cosas a su manera deformando el destino para fortuna de unos y desgracia de otros. La decisión tiene que ser tomada: Esperar a que las autoridades respondan o tomar la ley por sus manos.,https://pluto.tv/on-demand/movies/65d4e30516305f00138eb081/details
Noches de Cartas,Action & Adventure,PG-13,1hr 45 min,"Un grupo de mafiosos deciden tomarse un descanso de sus negocios prohibidos para una reunión y jugar a las cartas toda la noche, pero uno de ellos descubre un secreto que los pondrá frente a frente hasta perder la vida.",https://pluto.tv/on-demand/movies/627047bb943174001345ed4f/details
Piernas De Oro,Entertainment,TV-PG,1hr 32 min,"En una carrera de bicicletas, Clavillazo vence a Esteban quien siempre había sido el campeón municipal. El coronel García ordena que formen una cuarteta con Clavillazo. Esteban y otros, para correr en la vuelta al centro de la república.",https://pluto.tv/on-demand/movies/669919018dfe2a0013ba597c/details
La Boda,Action & Adventure,PG-13,1hr 10 min,"Un viaje de dos horas se convierte en una odisea de vida, o muerte, cuando 4 amigas deciden asistir a la boda de Esmeralda, unas de sus mejores amigas que vive en Rosarito. El sueño de felicitar su amiga se convierte en una pesadilla.",https://pluto.tv/on-demand/movies/6230c4b7d1630000138f31cc/details
Sicario,Action & Adventure,N/A,1hr 47 min,"Jairo es un adolescente que vive en un mundo marginal, en un barrio repleto de drogas y asaltos. Hastiado de la pobreza y de su infierno familiar, se ve obligado a recurrir a la violencia.",https://pluto.tv/on-demand/movies/61ba1056c323f20013e95e4c/details
La edad de piedra,Sci-Fi & Fantasy,TV-PG,1hr 23 min,Dos hombres son enviados hacia la prehistoria para recoger piedras que serán utilizadas en un invento.,https://pluto.tv/on-demand/movies/649b58e893485d0013e99456/details
El Abogado del Diablo,Action & Adventure,PG-13,1hr 50 min,"Cesar y su tío Marco quieren vengar la muerte del padre de Cesar, causada por los hijos del abogado Jorge Moncada por órdenes de el mismo para quedarse con todos sus bienes. El abogado les pone una trampa a Los Ramírez para que los encierren en la cárcel.",https://pluto.tv/on-demand/movies/62290327fae1dd001a6811e0/details
El Rayo de Sinaloa,Crime,TV-MA,1hr 3 min,Para proteger sus intereses un traficante de drogas luchas contra sus rivales y un despiadado jefe de la policía.,https://pluto.tv/on-demand/movies/60d49a9a89632c0013ead9ac/details
Rumba Caliente,Entertainment,TV-PG,1hr 37 min,"Ticha es una joven cuyo trabajo es ser vendedora de cigarros y dulces en el teatro, con el sueño de triunfar como actriz y ser como la Vedette Lily del mar quien trabaja en una de las obras exhibidas en el teatro.",https://pluto.tv/on-demand/movies/66991a513653a60013779b14/details
Pueblo Nuevo: Lugar Mágico,Crime,G,1hr 49 min,"En un pueblito de Jalisco viven dos familias rivales Los Barajas y Los Cortes quienes tienen rencillas desde que en una carrera de caballos los Cortes acusaron a los Barajas de hacer trampa, esto desata acontecimientos que los llevara a un trágico final.",https://pluto.tv/on-demand/movies/627124865bbb230014b7fecc/details
Las Aventuras De Moriana,Comedy,N/A,1hr 41 min,"Después de un aviso de desalojo, Moriana, una madre con tres hijos, se adelanta a la vida y comienza un negocio de restaurante que no funciona.",https://pluto.tv/on-demand/movies/5e5051802e9d88c5c13fed9f/details
El Pistolero,Crime,PG-13,1hr 38 min,"Esta es la historia de un ranchero que es reclutado para integrarse al cartel de Sinaloa. Al principio lo hace para llevar a cabo la venganza de su padre, pero después se ve rodeado de tanto poder y dinero, que ya no le es posible dejar el negocio.",https://pluto.tv/on-demand/movies/620bd4c0e17acd001398a119/details
THE DISCIPLE,Faith & Spirituality,PG,1hr 38 min,"Jesús asiste a la muerte de su padre, José, en un enfrentamiento con las tropas romanas. Años más tarde se convierte en el discípulo predilecto de Juan el Bautista, líder de un grupo de Macabeos que anuncia la llegada inminente del Reino de los Cielos.",https://pluto.tv/on-demand/movies/64fa0f026b9e3e001365c2b3/details
Recuperando a mi Ex,Comedy,G,1hr 38 min,"Francisco es un actor desempleado, atrapado por la fama de un personaje que interpretó años atrás. Al enterarse que Laura, su exesposa, se casará e irá al extranjero con Alicia, su hija, pone en marcha un ridículo plan.",https://pluto.tv/on-demand/movies/6107ef8594cf330013d2b51f/details
La Virgen de la Caridad del Cobre,Faith and Spirituality,PG,1hr 30 min,"Es la historia de la Virgen de la Caridad del Cobre y los 3 Juanes. Así comienza a desarrollarse nuestra trama, con distintas apariciones y milagros realizadas por la Virgen, Patrona de Cuba.",https://pluto.tv/on-demand/movies/650c99b96930bb0013771d31/details
Extra-Terrestres,Drama,N/A,1hr 53 min,"Una familia, 100,000 pollos con una sentencia de muerte, una niña con un secreto que revelará los de su familia, y una estrella a 2,500 años luz que los hará entender que todos estamos, metafóricamente, fuera de este mundo.",https://pluto.tv/on-demand/movies/5e5051587450b8c59d07de46/details
Brillando en la Oscuridad,Other,PG-13,1hr 30 min,"Dos hombres se encuentran en un estado emocional devastador, uno por el secuestro reciente de su hija y fallecimiento de esta, el otro protagonista fue engañado por su mujer y ambos personajes se dirigen a Jalcomulco en busca de esa paz interior.",https://pluto.tv/on-demand/movies/62714915e26cc40014ab7dee/details
El Gavilán Justiciero,Action & Adventure,PG-13,1hr 37 min,Historia llena de acción donde la codicia y la ambición desatan la mas cruenta lucha que trae como consecuencia el sufrimiento de una familia la envidia de otra.,https://pluto.tv/on-demand/movies/6228d777a9acf6001a92f7ed/details
La chupilca del diablo,Drama,R,1hr 40 min,"El viejo Eladio está muriendo. Las últimas décadas ha vivido solo, trabajando en su antigua fábrica de licores. La modernidad amenaza su negocio de aguardiente, pero él se niega a abandonarlo.",https://pluto.tv/on-demand/movies/5faef61cfd17cc001a012009/details
El Tren De La Muerte,Entertainment,TV-PG,1hr 24 min,"El pistolero Alvaro llega a un pueblo dominado por tres bandidos a los que busca para vengar el asesinato de su familia. Antes de que pase el siguiente tren, se enfrenta con cada bandido y los mata con ayuda del pistolero mexicano Toni López.",https://pluto.tv/on-demand/movies/6699161b6134930013137c4c/details
El Limpiapiscinas,Comedy,TV-MA,1hr 32 min,"Gustavo Ortíz debe dedicar su verano a limpiar las piscinas de sus vecinos para financiar sus estudios en la Universidad. Este hecho también lo verá como excusa para acercarse a la eterna chica de sus sueños, su vecina y ex compañera de curso, Nicole.",https://pluto.tv/on-demand/movies/5e5d723dbb3c2e001bf9ed44/details
Yo fui violada,Drama,R,1hr 28 min,"Un violador embaraza a una de sus victimas. Su hija crece y se enamora de un joven drogadicto, quien se la ofrece , sin saberlo a su propio padre.",https://pluto.tv/on-demand/movies/5e566c5c4faf09001a38510f/details
Cara O Sello,Action & Adventure,N/A,1hr 15 min,"Carlos Mendoza es un policía honesto. Cuando no acepta un soborno y encarcela a los culpables, despierta la ira de un narcotraficante local, que secuestra a su familia y lo hace elegir entre su familia, su carrera y su compañero.",https://pluto.tv/on-demand/movies/5e5050b6a3252fc50d51622e/details
"Marcelo, la mafia y la estafa",Comedy,TV-14,1hr 31 min,"Marcelo ha renegado su pasado italiano, pero sorpresivamente hereda todas las deudas de su difunto y mafioso “nonno”. Ahora deberá aprender del negocio familiar para pagar todo el dinero que debe a la mafia coreana y turca.",https://pluto.tv/on-demand/movies/5faef60ffd17cc001a011ea9/details
Rosa Chumbe,Drama,PG-13,1hr 13 min,"Rosa Chumbe es una mujer policía que verá interrumpida su rutina, cuando su hija de dieciocho años le robe sus pocos ahorros y se vaya de la casa dejando abandonado a su hijo. Este incidente marcará un antes y un después en la vida de Rosa",https://pluto.tv/on-demand/movies/65d4efaa038f370013b20db1/details
Hasta que la suegra nos separe,Comedy,TV-PG,1hr 18 min,"Lucho y Jenny están esperando un bebé. Lucho trabaja en un restaurante y de repente es despedido, situación que lo obliga a vivir en la casa de su suegra. La convivencia se hace imposible ya su suegra es tremendamente metiche.",https://pluto.tv/on-demand/movies/603e6207049634001a5f31e8/details
Apuesta con la Muerte 2,Action & Adventure,PG-13,1hr 45 min,En un acto de desesperación Valente hace un pacto con la muerte para regresar a la vida a su hermano Melecio sin imaginar las desgarradoras consecuencias de este acto siniestro.,https://pluto.tv/on-demand/movies/62714948e26cc40014ab8158/details
El Comandante Antrax,Crime,PG-13,1hr 40 min,"El comandante Ántrax es el brazo armado del cartel, es el encargado de la protección de la plaza, una banda de kaibiles ha llegado a la ciudad para tratar de apoderarse de la zona y comienzan a matar a los principales socios del patrón.",https://pluto.tv/on-demand/movies/628bd4132485d8001431c8cd/details
Tierra de Narcotraficantes,Action & Adventure,PG-13,1hr 20 min,El comandante dedica tanto tiempo a su trabajo que descuida a su propia familia y su hijo crece sin el cariño y atención de un padre el niño al entrar a la adolescencia se va por el mal camino equivocado ingresando a la mafia.,https://pluto.tv/on-demand/movies/628fba866075b8001a9767f4/details
