title,genre,classification,duration,synopsis,url
Jasper: Viaje al fin del mundo,Children & Family,TV-Y,1hr 24 min,"Entre el helado Polo Sur y una ciudad de puerto se desarrolla la aventura de dos pingüinos hermanos, Jasper y Junior, que con la ayuda de Emma, una niña de 9 años, rescatan de las garras del malvado Doctor Block los huevos de un ave rara llamada kakapo.",https://pluto.tv/on-demand/movies/5fb6bf27dcedaf00138dc189/details
2010: Moby Dick,Action & Adventure,N/A,1hr 27 min,Una adaptación moderna de la novela clásica del capitán de un submarino de alta tecnología y su búsqueda obsesiva de destruir la enorme ballena prehistórica que lo mutiló.,https://pluto.tv/on-demand/movies/5dc92f844d9d0e2cf3506630/details
Las Aventuras de Petey y sus amigos,Children & Family,TV-G,1hr 13 min,"La base aérea de Desert Sky Air Force recibe instrucciones para llevar a cabo una misión urgente. Petey, un joven avión, hace un aterrizaje en el mismo lugar de la base.",https://pluto.tv/on-demand/movies/602eb79a1936020013184057/details
Jack y la mecánica del corazón,Children & Family,TV-PG,1hr 32 min,"Edimburgo, año 1874. Jack es un chico no muy normal. Nació en la noche más fría de la historia y como consecuencia tiene el corazón congelado. Sin embargo, para que funcione, Madeleine, la comadrona, le instala un mecanismo especial.",https://pluto.tv/on-demand/movies/60e4703d83c54e001398ab36/details
El imperio prohibido,Action & Adventure,PG,1hr 51 min,"Principios del siglo 18. El cartógrafo Cartographer Jonathan Green emprende un viaje científico por Europa hacia el este. Luego de pasar por Transilvania y habiendo cruzado los Montes Cárpatos, se encuentra en una pequeña villa perdida en los bosques.",https://pluto.tv/on-demand/movies/65cfb7bf6ef49d00138450b7/details
100 Below Zero,Action & Adventure,N/A,1hr 28 min,"Cuando una cadena de erupciones volcánicas atraviesa Europa, la enorme nube de ceniza bloquea el sol, sumergiendo al continente en una nueva edad de hielo.",https://pluto.tv/on-demand/movies/5dc9303d600494283b82a4a8/details
Teana 10.000 años después,Sci-Fi & Fantasy,PG-13,1hr 37 min,"Miles de años en el futuro, un padre, un hijo y su perro, recorren el mundo contando historias del pasado que llevó a la destrucción de la humanidad. Sin que ellos lo sepan, la principal causa del cataclismo está a punto de regresar",https://pluto.tv/on-demand/movies/62bf3921daab810013cd3f99/details
Snakes on a Train,Horror,N/A,1hr 30 min,"Bajo una poderosa maldición maya, las serpientes son incubadas dentro de una mujer joven, lentamente devorándola desde adentro. Su única posibilidad de sobrevivir es una poderosa chamán que vive al otro lado de la frontera.",https://pluto.tv/on-demand/movies/5dc93116bb720736eb0dbc95/details
Airline Disaster,Action & Adventure,N/A,1hr 29 min,El Boeing Next Generation 797 es el nuevo estándar aeronáutico en lujo de pasajeros y tecnología de vuelo. Pero su viaje inaugural encuentra rápidamente la turbulencia cuando una banda violenta toma el control del avión.,https://pluto.tv/on-demand/movies/5e505297439337c6be69c42b/details
Guardian,Sci-Fi & Fantasy,R,1hr 26 min,"Una ola de violencia sacude a Los Ángeles, y el ex marino John Kross investiga su causa: una nueva droga llamada Chaos. Con su compañero Carpenter, investigan el misterio y descubrirán un vínculo entre la droga y un poder sobrenatural.",https://pluto.tv/on-demand/movies/5f3fd892ad190c001a52e662/details
